  0.997592  0.001597
  0.990393  0.002600
  0.978470  0.004241
  0.961940  0.006478
  0.940961  0.009253
  0.915735  0.012500
  0.886505  0.016144
  0.853553  0.020107
  0.817197  0.024307
  0.777785  0.028659
  0.735698  0.033078
  0.691342  0.037476
  0.645142  0.041761
  0.597545  0.045835
  0.549009  0.049597
  0.500000  0.052940
  0.450991  0.055756
  0.402455  0.057938
  0.354858  0.059382
  0.308658  0.060000
  0.264302  0.059717
  0.222215  0.058481
  0.182803  0.056269
  0.146447  0.053083
  0.113495  0.048955
  0.084265  0.043942
  0.059039  0.038120
  0.038060  0.031580
  0.021530  0.024415
  0.009607  0.016715
  0.002408  0.008558
  0.000000  0.000000
  0.002408 -0.008558
  0.009607 -0.016715
  0.021530 -0.024415
  0.038060 -0.031580
  0.059039 -0.038120
  0.084265 -0.043942
  0.113495 -0.048955
  0.146447 -0.053083
  0.182803 -0.056269
  0.222215 -0.058481
  0.264302 -0.059717
  0.308658 -0.060000
  0.354858 -0.059382
  0.402455 -0.057938
  0.450991 -0.055756
  0.500000 -0.052940
  0.549009 -0.049597
  0.597545 -0.045835
  0.645142 -0.041761
  0.691342 -0.037476
  0.735698 -0.033078
  0.777785 -0.028659
  0.817197 -0.024307
  0.853553 -0.020107
  0.886505 -0.016144
  0.915735 -0.012500
  0.940961 -0.009253
  0.961940 -0.006478
  0.978470 -0.004241
  0.990393 -0.002600
  0.997592 -0.001597
